Year,League,Division,Team,Wins,Losses,Ties,WP,GB,Payroll
2006,NL,Central,Houston Astros,82,80,,0.506,1.5,92551503.0
2006,NL,Central,Cincinnati Reds,80,82,,0.494,3.5,60909519.0
2006,NL,Central,Milwaukee Brewers,75,87,,0.463,8.5,57568333.0
2006,NL,Central,Pittsburgh Pirates,67,95,,0.414,16.5,46717750.0
2006,NL,Central,Chicago Cubs,66,96,,0.407,17.5,94424499.0
2006,NL,West,San Diego Padres,88,74,,0.543,0.0,69896141.0
2006,NL,West,Los Angeles Dodgers,88,74,,0.543,0.0,98447187.0
2006,NL,West,San Francisco Giants,76,85,,0.472,11.5,90056419.0
2006,NL,West,Arizona Diamondbacks,76,86,,0.469,12.0,59684226.0
2006,NL,West,Colorado Rockies,76,86,,0.469,12.0,41233000.0
2007,NL,East,Philadelphia Phillies,89,73,,0.549,0.0,89428213.0
2007,NL,East,New York Mets,88,74,,0.543,1.0,115231663.0
2007,NL,East,Atlanta Braves,84,78,,0.519,5.0,87290833.0
2007,NL,East,Washington Nationals,73,89,,0.451,16.0,37347500.0
2007,NL,East,Florida Marlins,71,91,,0.438,18.0,30507000.0
2007,NL,Central,Chicago Cubs,85,77,,0.525,0.0,99670332.0
2007,NL,Central,Milwaukee Brewers,83,79,,0.512,2.0,70986500.0
2007,NL,Central,St. Louis Cardinals,78,84,,0.481,7.0,90286823.0
2007,NL,Central,Houston Astros,73,89,,0.451,12.0,87759000.0
2007,NL,Central,Cincinnati Reds,72,90,,0.444,13.0,68904980.0
2007,NL,Central,Pittsburgh Pirates,68,94,,0.42,17.0,38537833.0
2007,NL,West,Arizona Diamondbacks,90,72,,0.556,0.0,52067546.0
2007,NL,West,Colorado Rockies,90,73,,0.552,0.5,54424000.0
2007,NL,West,San Diego Padres,89,74,,0.546,1.5,58110567.0
2007,NL,West,Los Angeles Dodgers,82,80,,0.506,8.0,108454524.0
2007,NL,West,San Francisco Giants,71,91,,0.438,19.0,90219056.0
2008,NL,East,Philadelphia Phillies,92,70,,0.568,0.0,98269881.0
2008,NL,East,New York Mets,89,73,,0.549,3.0,138293378.0
2008,NL,East,Florida Marlins,84,77,,0.522,7.5,21836500.0
2008,NL,East,Atlanta Braves,72,90,,0.444,20.0,102424018.0
2008,NL,East,Washington Nationals,59,102,,0.366,32.5,54961000.0
2008,NL,Central,Chicago Cubs,97,64,,0.602,0.0,118595833.0
2008,NL,Central,Milwaukee Brewers,90,72,,0.556,7.5,81004167.0
2008,NL,Central,Houston Astros,86,75,,0.534,11.0,88930415.0
2008,NL,Central,St. Louis Cardinals,86,76,,0.531,11.5,100624450.0
2008,NL,Central,Cincinnati Reds,74,88,,0.457,23.5,74277685.0
2008,NL,Central,Pittsburgh Pirates,67,95,,0.414,30.5,49365283.0
2008,NL,West,Los Angeles Dodgers,84,78,,0.519,0.0,118536038.0
2008,NL,West,Arizona Diamondbacks,82,80,,0.506,2.0,66202713.0
2008,NL,West,Colorado Rockies,74,88,,0.457,10.0,68655500.0
2008,NL,West,San Francisco Giants,72,90,,0.444,12.0,76904500.0
2008,NL,West,San Diego Padres,63,99,,0.389,21.0,73677617.0
2009,NL,East,Philadelphia Phillies,93,69,,0.574,0.0,113004046.0
2009,NL,East,Florida Marlins,87,75,,0.537,6.0,36834000.0
2009,NL,East,Atlanta Braves,86,76,,0.531,7.0,96726166.0
2009,NL,East,New York Mets,70,92,,0.432,23.0,149373987.0
2009,NL,East,Washington Nationals,59,103,,0.364,34.0,60328000.0
2009,NL,Central,St. Louis Cardinals,91,71,,0.562,0.0,77605109.0
2009,NL,Central,Chicago Cubs,83,78,,0.516,7.5,134809000.0
2009,NL,Central,Milwaukee Brewers,80,82,,0.494,11.0,80182502.0
2009,NL,Central,Cincinnati Reds,78,84,,0.481,13.0,73558500.0
2009,NL,Central,Houston Astros,74,88,,0.457,17.0,102996414.0
2009,NL,Central,Pittsburgh Pirates,62,99,,0.385,28.5,48693001.0
2009,NL,West,Los Angeles Dodgers,95,67,,0.586,0.0,100414592.0
2009,NL,West,Colorado Rockies,92,70,,0.568,3.0,75201000.0
2009,NL,West,San Francisco Giants,88,74,,0.543,7.0,82616450.0
2009,NL,West,San Diego Padres,75,87,,0.463,20.0,43734200.0
2009,NL,West,Arizona Diamondbacks,70,92,,0.432,25.0,73516666.0
2010,NL,East,Philadelphia Phillies,97,65,,0.599,0.0,141927381.0
2010,NL,East,Atlanta Braves,91,71,,0.562,6.0,84423667.0
2010,NL,East,Florida Marlins,80,82,,0.494,17.0,55641500.0
2010,NL,East,New York Mets,79,83,,0.488,18.0,132701445.0
2010,NL,East,Washington Nationals,69,93,,0.426,28.0,61425000.0
2010,NL,Central,Cincinnati Reds,91,71,,0.562,0.0,72386544.0
2010,NL,Central,St. Louis Cardinals,86,76,,0.531,5.0,93540753.0
2010,NL,Central,Milwaukee Brewers,77,85,,0.475,14.0,81108279.0
2010,NL,Central,Houston Astros,76,86,,0.469,15.0,92355500.0
2010,NL,Central,Chicago Cubs,75,87,,0.463,16.0,146859000.0
2010,NL,Central,Pittsburgh Pirates,57,105,,0.352,34.0,34943000.0
2010,NL,West,San Francisco Giants,92,70,,0.568,0.0,97828833.0
2010,NL,West,San Diego Padres,90,72,,0.556,2.0,37799300.0
2010,NL,West,Colorado Rockies,83,79,,0.512,9.0,84227000.0
2010,NL,West,Los Angeles Dodgers,80,82,,0.494,12.0,94945517.0
2010,NL,West,Arizona Diamondbacks,65,97,,0.401,27.0,60718167.0
2011,NL,East,Philadelphia Phillies,102,60,,0.63,0.0,172976379.0
2011,NL,East,Atlanta Braves,89,73,,0.549,13.0,87002692.0
2011,NL,East,Washington Nationals,80,81,,0.497,21.5,63856928.0
2011,NL,East,New York Mets,77,85,,0.475,25.0,118847309.0
2011,NL,East,Florida Marlins,72,90,,0.444,30.0,56944000.0
2011,NL,Central,Milwaukee Brewers,96,66,,0.593,0.0,85497333.0
2011,NL,Central,St. Louis Cardinals,90,72,,0.556,6.0,105433572.0
2011,NL,Central,Cincinnati Reds,79,83,,0.488,17.0,75947134.0
2011,NL,Central,Pittsburgh Pirates,72,90,,0.444,24.0,45047000.0
2011,NL,Central,Chicago Cubs,71,91,,0.438,25.0,125047329.0
2011,NL,Central,Houston Astros,56,106,,0.346,40.0,70694000.0
2011,NL,West,Arizona Diamondbacks,94,68,,0.58,0.0,53639833.0
2011,NL,West,San Francisco Giants,86,76,,0.531,8.0,118198333.0
2011,NL,West,Los Angeles Dodgers,82,79,,0.509,11.5,104188999.0
2011,NL,West,Colorado Rockies,73,89,,0.451,21.0,88148071.0
2011,NL,West,San Diego Padres,71,91,,0.438,23.0,45869140.0
2012,NL,East,Washington Nationals,98,64,,0.605,0.0,81336143.0
2012,NL,East,Atlanta Braves,94,68,,0.58,4.0,83309942.0
2012,NL,East,Philadelphia Phillies,81,81,,0.5,17.0,174538938.0
2012,NL,East,New York Mets,74,88,,0.457,24.0,93353983.0
2012,NL,East,Miami Marlins,69,93,,0.426,29.0,118078000.0
2012,NL,Central,Cincinnati Reds,97,65,,0.599,0.0,82203616.0
2012,NL,Central,St. Louis Cardinals,88,74,,0.543,9.0,110300862.0
2012,NL,Central,Milwaukee Brewers,83,79,,0.512,14.0,97653944.0
2012,NL,Central,Pittsburgh Pirates,79,83,,0.488,18.0,63431999.0
2012,NL,Central,Chicago Cubs,61,101,,0.377,36.0,88197033.0
2012,NL,Central,Houston Astros,55,107,,0.34,42.0,60651000.0
2012,NL,West,San Francisco Giants,94,68,,0.58,0.0,117620683.0
2012,NL,West,Los Angeles Dodgers,86,76,,0.531,8.0,95143575.0
2012,NL,West,Arizona Diamondbacks,81,81,,0.5,13.0,74284833.0
2012,NL,West,San Diego Padres,76,86,,0.469,18.0,55244700.0
2012,NL,West,Colorado Rockies,64,98,,0.395,30.0,78069571.0
2013,NL,East,Atlanta Braves,96,66,,0.593,0.0,
2013,NL,East,Washington Nationals,86,76,,0.531,10.0,
2013,NL,East,New York Mets,74,88,,0.457,22.0,
2013,NL,East,Philadelphia Phillies,73,89,,0.451,23.0,
2013,NL,East,Miami Marlins,62,100,,0.383,34.0,
2013,NL,Central,St. Louis Cardinals,97,65,,0.599,0.0,
2013,NL,Central,Pittsburgh Pirates,94,68,,0.58,3.0,
2013,NL,Central,Cincinnati Reds,90,72,,0.556,7.0,
2013,NL,Central,Milwaukee Brewers,74,88,,0.457,23.0,
2013,NL,Central,Chicago Cubs,66,96,,0.0,0.407,
2013,NL,West,Los Angeles Dodgers,92,70,,0.568,0.0,
2013,NL,West,Arizona Diamondbacks,81,81,,0.5,11.0,
2013,NL,West,San Diego Padres,76,86,,0.469,16.0,
2013,NL,West,San Francisco Giants,76,86,,0.469,16.0,
2013,NL,West,Colorado Rockies,74,88,,0.457,18.0,
2014,NL,East,Washington Nationals,96,66,,0.593,0.0,134704437.0
2014,NL,East,Atlanta Braves,79,83,,0.488,17.0,110897341.0
2014,NL,East,New York Mets,79,83,,0.488,17.0,89051758.0
2014,NL,East,Miami Marlins,77,85,,0.475,19.0,47565400.0
2014,NL,East,Philadelphia Phillies,73,89,,0.451,23.0,180052723.0
2014,NL,Central,St. Louis Cardinals,90,72,,0.556,0.0,111020360.0
2014,NL,Central,Pittsburgh Pirates,88,74,,0.543,2.0,78111667.0
2014,NL,Central,Milwaukee Brewers,82,80,,0.506,8.0,103844806.0
2014,NL,Central,Cincinnati Reds,76,86,,0.469,14.0,112390772.0
2014,NL,Central,Chicago Cubs,73,89,,0.451,17.0,89007857.0
2014,NL,West,Los Angeles Dodgers,94,68,,0.58,0.0,235295219.0
2014,NL,West,San Francisco Giants,88,74,,0.543,6.0,154185878.0
2014,NL,West,San Diego Padres,77,85,,0.475,17.0,90094196.0
2014,NL,West,Colorado Rockies,66,96,,0.407,28.0,95832071.0
2014,NL,West,Arizona Diamondbacks,64,98,,0.395,30.0,112688666.0
2015,NL,East,New York Mets,90,72,,0.0,0.556,
2015,NL,East,Washington Nationals,83,79,,0.0,0.512,
2015,NL,East,Miami Marlins,71,91,,0.0,0.438,
2015,NL,East,Atlanta Braves,67,95,,0.0,0.414,
2015,NL,East,Philadelphia Phillies,63,99,,0.0,0.389,
2015,NL,Central,St. Louis Cardinals,100,62,,0.0,0.617,
2015,NL,Central,Pittsburgh Pirates,98,64,,0.0,0.605,
2015,NL,Central,Chicago Cubs,97,65,,0.0,0.599,
2015,NL,Central,Milwaukee Brewers,68,94,,0.0,0.42,
2015,NL,Central,Cincinnati Reds,64,98,,0.0,0.395,
2015,NL,West,Los Angeles Dodgers,92,70,,0.0,0.568,
2015,NL,West,San Francisco Giants,84,78,,0.0,0.519,
2015,NL,West,Arizona Diamondbacks,79,83,,0.0,0.488,
2015,NL,West,San Diego Padres,74,88,,0.0,0.457,
2015,NL,West,Colorado Rockies,68,94,,0.0,0.42,
2016,NL,East,Washington Nationals,95,67,,0.0,0.586,
2016,NL,East,New York Mets,87,75,,0.0,0.537,
2016,NL,East,Miami Marlins,79,82,,0.0,0.491,
2016,NL,East,Philadelphia Phillies,71,91,,0.0,0.438,
2016,NL,East,Atlanta Braves,68,93,,0.0,0.422,
2016,NL,Central,Chicago Cubs,103,58,,0.0,0.64,
2016,NL,Central,St. Louis Cardinals,86,76,,0.0,0.531,
2016,NL,Central,Pittsburgh Pirates,78,83,,0.0,0.484,
2016,NL,Central,Milwaukee Brewers,73,89,,0.0,0.451,
2016,NL,Central,Cincinnati Reds,68,94,,0.0,0.42,
2016,NL,West,Los Angeles Dodgers,91,71,,0.0,0.562,
2016,NL,West,San Francisco Giants,87,75,,0.0,0.537,
2016,NL,West,Colorado Rockies,75,87,,0.0,0.463,
2016,NL,West,Arizona Diamondbacks,69,93,,0.0,0.426,
2016,NL,West,San Diego Padres,68,94,,0.0,0.42,
2017,NL,East,Washington Nationals,97,65,,0.0,0.599,
2017,NL,East,Miami Marlins,77,85,,0.0,0.475,
2017,NL,East,Atlanta Braves,72,90,,0.0,0.444,
2017,NL,East,New York Mets,70,92,,0.0,0.432,
2017,NL,East,Philadelphia Phillies,66,96,,0.0,0.407,
2017,NL,Central,Chicago Cubs,92,70,,0.0,0.568,
2017,NL,Central,Milwaukee Brewers,86,76,,0.0,0.531,
2017,NL,Central,St. Louis Cardinals,83,79,,0.0,0.512,
2017,NL,Central,Pittsburgh Pirates,75,87,,0.0,0.463,
2017,NL,Central,Cincinnati Reds,68,94,,0.0,0.42,
2017,NL,West,Los Angeles Dodgers,104,58,,0.0,0.642,
2017,NL,West,Arizona Diamondbacks,93,69,,0.0,0.574,
2017,NL,West,Colorado Rockies,87,75,,0.0,0.537,
2017,NL,West,San Diego Padres,71,91,,0.0,0.438,
2017,NL,West,San Francisco Giants,64,98,,0.0,0.395,
2018,NL,East,Atlanta Braves,90,72,,0.0,0.556,
2018,NL,East,Washington Nationals,82,80,,0.0,0.506,
2018,NL,East,Philadelphia Phillies,80,82,,0.0,0.494,
2018,NL,East,New York Mets,77,85,,0.0,0.475,
2018,NL,East,Miami Marlins,63,98,,0.0,0.391,
2018,NL,Central,Milwaukee Brewers,96,67,,0.0,0.589,
2018,NL,Central,Chicago Cubs,95,68,,0.0,0.583,
2018,NL,Central,St. Louis Cardinals,88,74,,0.0,0.543,
2018,NL,Central,Pittsburgh Pirates,82,79,,0.0,0.509,
2018,NL,Central,Cincinnati Reds,67,95,,0.0,0.414,
2018,NL,West,Los Angeles Dodgers,92,71,,0.0,0.564,
2018,NL,West,Colorado Rockies,91,72,,0.0,0.558,
2018,NL,West,Arizona Diamondbacks,82,80,,0.0,0.506,
2018,NL,West,San Francisco Giants,73,89,,0.0,0.451,
2018,NL,West,San Diego Padres,66,96,,0.0,0.407,
2019,NL,East,Atlanta Braves,97,65,,0.599,0.0,113778369.0
2019,NL,East,Washington Nationals,93,69,,0.574,4.0,161877935.0
2019,NL,East,New York Mets,86,76,,0.531,11.0,158999270.0
2019,NL,East,Philadelphia Phillies,81,81,,0.5,16.0,140711962.0
2019,NL,East,Miami Marlins,57,105,,0.352,40.0,72449404.0
2019,NL,Central,St. Louis Cardinals,91,71,,0.562,0.0,162830430.0
2019,NL,Central,Milwaukee Brewers,89,73,,0.549,2.0,124755400.0
2019,NL,Central,Chicago Cubs,84,78,,0.519,7.0,210358488.0
2019,NL,Central,Cincinnati Reds,75,87,,0.463,16.0,126423214.0
2019,NL,Central,Pittsburgh Pirates,69,93,,0.426,22.0,76589154.0
2019,NL,West,Los Angeles Dodgers,106,56,,0.654,0.0,196729548.0
2019,NL,West,Arizona Diamondbacks,85,77,,0.525,21.0,123932983.0
2019,NL,West,San Francisco Giants,77,85,,0.475,29.0,178286222.0
2019,NL,West,Colorado Rockies,71,91,,0.438,35.0,147433009.0
2019,NL,West,San Diego Padres,70,92,,0.432,36.0,99205017.0
2020,NL,East,Atlanta Braves,35,25,,0.0,0.583,
2020,NL,East,Miami Marlins,31,29,,0.0,0.517,
2020,NL,East,Philadelphia Phillies,28,32,,0.0,0.467,
2020,NL,East,New York Mets,26,34,,0.0,0.433,
2020,NL,East,Washington Nationals,26,34,,0.0,0.433,
2020,NL,Central,Chicago Cubs,34,26,,0.0,0.567,
2020,NL,Central,Cincinnati Reds,31,29,,0.0,0.517,
2020,NL,Central,St. Louis Cardinals,30,28,,0.0,0.517,
2020,NL,Central,Milwaukee Brewers,29,31,,0.0,0.483,
2020,NL,Central,Pittsburgh Pirates,19,41,,0.0,0.317,
2020,NL,West,Los Angeles Dodgers,43,17,,0.0,0.717,
2020,NL,West,San Diego Padres,37,23,,0.0,0.617,
2020,NL,West,San Francisco Giants,29,31,,0.0,0.483,
2020,NL,West,Colorado Rockies,26,34,,0.0,0.433,
2020,NL,West,Arizona Diamondbacks,25,35,,0.0,0.417,
2021,NL,East,Atlanta Braves,88,73,,0.0,0.547,
2021,NL,East,Philadelphia Phillies,82,80,,0.0,0.506,
2021,NL,East,New York Mets,77,85,,0.0,0.475,
2021,NL,East,Miami Marlins,67,95,,0.0,0.414,
2021,NL,East,Washington Nationals,65,97,,0.0,0.401,
2021,NL,Central,Milwaukee Brewers,95,67,,0.0,0.586,
2021,NL,Central,St. Louis Cardinals,90,72,,0.0,0.556,
2021,NL,Central,Cincinnati Reds,83,79,,0.0,0.512,
2021,NL,Central,Chicago Cubs,71,91,,0.0,0.438,
2021,NL,Central,Pittsburgh Pirates,61,101,,0.0,0.377,
2021,NL,West,San Francisco Giants,107,55,,0.0,0.66,
2021,NL,West,Los Angeles Dodgers,106,56,,0.0,0.654,
2021,NL,West,San Diego Padres,79,83,,0.0,0.488,
2021,NL,West,Colorado Rockies,74,87,,0.0,0.46,
2021,NL,West,Arizona Diamondbacks,52,110,,0.0,0.321,
2022,NL,East,Atlanta Braves,101,61,,0.0,0.623,
2022,NL,East,New York Mets,101,61,,0.0,0.623,
2022,NL,East,Philadelphia Phillies,87,75,,0.0,0.537,
2022,NL,East,Miami Marlins,69,93,,0.0,0.426,
2022,NL,East,Washington Nationals,55,107,,0.0,0.34,
2022,NL,Central,St. Louis Cardinals,93,69,,0.0,0.574,
2022,NL,Central,Milwaukee Brewers,86,76,,0.0,0.531,
2022,NL,Central,Chicago Cubs,74,88,,0.0,0.457,
2022,NL,Central,Cincinnati Reds,62,100,,0.0,0.383,
2022,NL,Central,Pittsburgh Pirates,62,100,,0.0,0.383,
2022,NL,West,Los Angeles Dodgers,111,51,,0.0,0.685,
2022,NL,West,San Diego Padres,89,73,,0.0,0.549,
2022,NL,West,San Francisco Giants,81,81,,0.0,0.5,
2022,NL,West,Arizona Diamondbacks,74,88,,0.0,0.457,
2022,NL,West,Colorado Rockies,68,94,,0.0,0.42,
2023,NL,East,Atlanta Braves,104,58,,0.0,0.642,
2023,NL,East,Philadelphia Phillies,90,72,,0.0,0.556,
2023,NL,East,Miami Marlins,84,78,,0.0,0.519,
2023,NL,East,New York Mets,75,87,,0.0,0.463,
2023,NL,East,Washington Nationals,71,91,,0.0,0.438,
2023,NL,Central,Milwaukee Brewers,92,70,,0.0,0.568,
2023,NL,Central,Chicago Cubs,83,79,,0.0,0.512,
2023,NL,Central,Cincinnati Reds,82,80,,0.0,0.506,
2023,NL,Central,Pittsburgh Pirates,76,86,,0.0,0.469,
2023,NL,Central,St. Louis Cardinals,71,91,,0.0,0.438,
2023,NL,West,Los Angeles Dodgers,100,62,,0.0,0.617,
2023,NL,West,Arizona Diamondbacks,84,78,,0.0,0.519,
2023,NL,West,San Diego Padres,82,80,,0.0,0.506,
2023,NL,West,San Francisco Giants,79,83,,0.0,0.488,
2023,NL,West,Colorado Rockies,59,103,,0.0,0.364,
2024,NL,East,Philadelphia Phillies,95,67,,0.0,0.586,
2024,NL,East,Atlanta Braves,89,73,,0.0,0.549,
2024,NL,East,New York Mets,89,73,,0.0,0.549,
2024,NL,East,Washington Nationals,71,91,,0.0,0.438,
2024,NL,East,Miami Marlins,62,100,,0.0,0.383,
2024,NL,Central,Milwaukee Brewers,93,69,,0.0,0.574,
2024,NL,Central,Chicago Cubs,83,79,,0.0,0.512,
2024,NL,Central,St. Louis Cardinals,83,79,,0.0,0.512,
2024,NL,Central,Cincinnati Reds,77,85,,0.0,0.475,
2024,NL,Central,Pittsburgh Pirates,76,86,,0.0,0.469,
2024,NL,West,Los Angeles Dodgers,98,64,,0.0,0.605,
2024,NL,West,San Diego Padres,93,69,,0.0,0.574,
2024,NL,West,Arizona Diamondbacks,89,73,,0.0,0.549,
2024,NL,West,San Francisco Giants,80,82,,0.0,0.494,
2024,NL,West,Colorado Rockies,61,101,,0.0,0.377,
2025,NL,East,Philadelphia Phillies,96,66,,0.0,0.593,
2025,NL,East,New York Mets,83,79,,0.0,0.512,
2025,NL,East,Miami Marlins,79,83,,0.0,0.488,
2025,NL,East,Atlanta Braves,76,86,,0.0,0.469,
2025,NL,East,Washington Nationals,66,96,,0.0,0.407,
2025,NL,Central,Milwaukee Brewers,97,65,,0.0,0.599,
2025,NL,Central,Chicago Cubs,92,70,,0.0,0.568,
2025,NL,Central,Cincinnati Reds,83,79,,0.0,0.512,
2025,NL,Central,St. Louis Cardinals,78,84,,0.0,0.481,
2025,NL,Central,Pittsburgh Pirates,71,91,,0.0,0.438,
2025,NL,West,Los Angeles Dodgers,93,69,,0.0,0.574,
2025,NL,West,San Diego Padres,90,72,,0.0,0.556,
2025,NL,West,San Francisco Giants,81,81,,0.0,0.5,
2025,NL,West,Arizona Diamondbacks,80,82,,0.0,0.494,
2025,NL,West,Colorado Rockies,43,119,,0.0,0.265,
